Order_ID,Order_Date,Region,Category,Product,Customer_Segment,Ship_Mode,Quantity,Discount,Sales,Profit
ORD-1000,2024-01-01,North,Stationery,Marker Pack,Corporate,Standard,2,0.05,71.85,17.49
ORD-1001,2024-01-01,East,Clothing,Sneakers,Corporate,Standard,2,0.0,30.41,6.03
ORD-1002,2024-01-01,South,Clothing,T-Shirt,Corporate,Standard,2,0.0,49.58,10.67
ORD-1003,2024-01-01,South,Stationery,Desk Organizer,Corporate,Standard,7,0.05,42.05,13.76
ORD-1004,2024-01-01,East,Clothing,T-Shirt,Small Business,Express,6,0.0,275.74,90.29
ORD-1005,2024-01-01,West,Clothing,T-Shirt,Consumer,Standard,7,0.05,125.49,20.44
ORD-1006,2024-01-02,South,Groceries,Cereal,Consumer,Standard,3,0.0,9.06,1.07
ORD-1007,2024-01-02,South,Clothing,T-Shirt,Consumer,Standard,3,0.05,190.9,36.41
ORD-1008,2024-01-02,East,Furniture,Dining Table,Small Business,Standard,4,0.2,1264.36,121.55
ORD-1009,2024-01-02,East,Stationery,Backpack,Corporate,Standard,7,0.15,250.34,82.73
ORD-1010,2024-01-02,North,Clothing,Sneakers,Small Business,Standard,7,0.0,610.63,201.15
ORD-1011,2024-01-02,Central,Groceries,Cereal,Corporate,Express,6,0.05,222.45,42.67
ORD-1012,2024-01-02,South,Stationery,Marker Pack,Corporate,Express,6,0.2,79.33,19.08
ORD-1013,2024-01-02,North,Groceries,Coffee,Corporate,Standard,5,0.15,160.64,22.15
ORD-1014,2024-01-02,North,Groceries,Coffee,Consumer,Standard,3,0.05,50.17,5.32
ORD-1015,2024-01-03,North,Groceries,Snack Pack,Corporate,Standard,4,0.0,99.44,22.29
ORD-1016,2024-01-03,South,Groceries,Spices,Corporate,Standard,2,0.0,15.82,1.77
ORD-1017,2024-01-03,West,Stationery,Notebook,Consumer,Same Day,1,0.2,44.97,8.52
ORD-1018,2024-01-03,North,Clothing,Cap,Consumer,Standard,2,0.05,167.89,37.23
ORD-1019,2024-01-03,North,Stationery,Marker Pack,Consumer,Express,7,0.15,36.25,9.78
ORD-1020,2024-01-03,West,Electronics,Laptop,Corporate,Express,6,0.0,4516.5,421.04
ORD-1021,2024-01-03,South,Furniture,Desk,Consumer,Express,4,0.0,1888.5,292.51
ORD-1022,2024-01-03,South,Stationery,Marker Pack,Corporate,Express,3,0.0,61.69,24.14
ORD-1023,2024-01-03,East,Groceries,Cereal,Consumer,Standard,7,0.0,266.06,44.23
ORD-1024,2024-01-03,North,Clothing,Jacket,Consumer,Express,2,0.15,28.44,4.31
ORD-1025,2024-01-03,Central,Groceries,Coffee,Small Business,Express,2,0.0,47.32,8.79
ORD-1026,2024-01-03,West,Stationery,Notebook,Corporate,Standard,2,0.0,54.61,21.77
ORD-1027,2024-01-03,East,Stationery,Marker Pack,Small Business,Standard,7,0.0,251.23,81.41
ORD-1028,2024-01-03,East,Furniture,Sofa,Consumer,Standard,1,0.0,218.55,30.38
ORD-1029,2024-01-03,West,Furniture,Bookshelf,Corporate,Standard,1,0.05,419.01,35.19
ORD-1030,2024-01-03,North,Electronics,Tablet,Consumer,Standard,3,0.05,259.95,44.88
ORD-1031,2024-01-03,South,Electronics,Headphones,Consumer,Express,6,0.1,3783.99,464.76
ORD-1032,2024-01-04,South,Groceries,Snack Pack,Corporate,Standard,4,0.0,88.07,14.88
ORD-1033,2024-01-04,North,Electronics,Smartwatch,Consumer,Express,7,0.0,2554.15,258.65
ORD-1034,2024-01-04,East,Clothing,Jacket,Small Business,Express,6,0.0,225.64,50.28
ORD-1035,2024-01-04,West,Electronics,Smartphone,Corporate,Standard,1,0.05,756.52,153.63
ORD-1036,2024-01-04,North,Furniture,Dining Table,Consumer,Standard,6,0.05,2459.86,172.19
ORD-1037,2024-01-04,North,Furniture,Sofa,Consumer,Standard,7,0.1,2176.54,79.63
ORD-1038,2024-01-05,North,Groceries,Cereal,Corporate,Standard,6,0.0,172.73,23.96
ORD-1039,2024-01-05,West,Clothing,T-Shirt,Consumer,Standard,4,0.0,349.76,72.65
ORD-1040,2024-01-05,East,Groceries,Spices,Consumer,Standard,1,0.0,14.93,2.85
ORD-1041,2024-01-05,West,Electronics,Tablet,Small Business,Standard,6,0.0,4075.87,772.02
ORD-1042,2024-01-05,North,Stationery,Desk Organizer,Corporate,Same Day,3,0.05,123.69,32.57
ORD-1043,2024-01-05,Central,Furniture,Dining Table,Corporate,Standard,5,0.05,1596.91,174.88
ORD-1044,2024-01-05,North,Clothing,T-Shirt,Corporate,Express,4,0.0,302.8,59.3
ORD-1045,2024-01-06,Central,Furniture,Desk,Consumer,Standard,4,0.15,1118.74,8.94
ORD-1046,2024-01-06,West,Electronics,Headphones,Small Business,Same Day,1,0.0,449.69,55.58
ORD-1047,2024-01-06,West,Furniture,Sofa,Corporate,Standard,3,0.05,1253.85,117.63
ORD-1048,2024-01-06,South,Stationery,Notebook,Corporate,Express,6,0.15,54.17,12.7
ORD-1049,2024-01-06,West,Clothing,Jacket,Consumer,Standard,3,0.05,219.24,47.17
ORD-1050,2024-01-07,Central,Groceries,Snack Pack,Consumer,Standard,5,0.0,125.08,17.07
ORD-1051,2024-01-07,Central,Clothing,Sneakers,Consumer,Standard,5,0.15,257.8,74.02
ORD-1052,2024-01-07,East,Furniture,Bookshelf,Consumer,Express,6,0.1,1635.66,153.02
ORD-1053,2024-01-07,East,Furniture,Bookshelf,Corporate,Express,5,0.0,779.65,40.85
ORD-1054,2024-01-07,South,Furniture,Office Chair,Consumer,Express,2,0.05,231.06,13.35
ORD-1055,2024-01-07,North,Furniture,Desk,Corporate,Standard,1,0.1,151.16,21.68
ORD-1056,2024-01-08,South,Electronics,Laptop,Consumer,Express,3,0.0,1711.78,278.39
ORD-1057,2024-01-08,South,Furniture,Office Chair,Consumer,Standard,6,0.2,1834.46,135.87
ORD-1058,2024-01-08,North,Furniture,Office Chair,Corporate,Same Day,7,0.1,2311.25,62.72
ORD-1059,2024-01-08,North,Clothing,Sneakers,Consumer,Express,5,0.1,68.53,14.07
ORD-1060,2024-01-08,Central,Clothing,Jeans,Consumer,Standard,1,0.05,14.82,4.59
ORD-1061,2024-01-08,West,Electronics,Smartwatch,Consumer,Standard,1,0.15,315.17,13.02
ORD-1062,2024-01-08,South,Stationery,Desk Organizer,Corporate,Same Day,4,0.0,180.46,44.42
ORD-1063,2024-01-08,North,Furniture,Office Chair,Consumer,Express,2,0.05,162.36,16.56
ORD-1064,2024-01-08,North,Clothing,Cap,Consumer,Standard,1,0.0,80.2,17.31
ORD-1065,2024-01-09,North,Clothing,Cap,Consumer,Same Day,6,0.05,509.11,137.77
